price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
210000,60,-34.5645773,-58.45741368,Belgrano
160000,46,-34.5938779,-58.429594,Palermo
85900,52,-34.592467,-58.410649,Palermo
103000,49,-34.6261244,-58.3859524,Constitución
137000,42,-34.607026,-58.442438,Caballito
135000,64,-34.602823,-58.36824,San Nicolás
119900,36,-34.5636949,-58.4581944,Belgrano
193000,55,-34.5624033,-58.4667165,Belgrano
102337.45,42,-34.6321116,-58.3703982,Barracas
139000,48,-34.621654,-58.440164,Caballito
290000,72,-34.5757551,-58.4345373,Palermo
158000,72,-34.6010624,-58.4376694,Villa Crespo
140000,59,-34.6213002,-58.4384732,Caballito
95800,42,-34.5687875,-58.4966697,Villa Urquiza
233284.66,75,-34.56822,-58.458337,Belgrano
200000,68,-34.60662,-58.4304928,Parque Centenario
75000,40,-34.604293,-58.4063222,Balvanera
145000,72,-34.59662025,-58.38060857,Centro / Microcentro
295000,94,-34.5894701,-58.4078757,Recoleta
79500,47,-34.618015,-58.460499,Flores
123000,89,,,Floresta
91500,49,-34.605719,-58.431068,Villa Crespo
135000,58,-34.5605705,-58.4590119,Belgrano
83000,41,-34.6392412,-58.478673,Floresta
180000,74,-34.56530429,-58.43796529,Belgrano
85000,55,-34.626001,-58.462254,Flores
380000,100,-34.58615582,-58.41500554,Palermo
180000,50,-34.5671172,-58.45788753,Belgrano
137000,74,-34.63491027,-58.47326091,Flores
107500,37,-34.552745,-58.462983,Nuñez
143000,90,-34.621433,-58.390041,Monserrat
118000,40,-34.6087862,-58.4304906,Caballito
176000,61,-34.557199,-58.480847,Saavedra
78397.32,32,-34.6222103,-58.4043385,San Cristobal
230500,66,-34.613041,-58.43307,Caballito
158000,63,-34.558046,-58.460923,Belgrano
165000,85,-34.6004038,-58.4954328,Villa del Parque
138000,58,-34.60371374,-58.38158089,Belgrano
152000,60,-34.613702,-58.414297,Balvanera
165000,100,-34.57663799,-58.50801229,Villa Pueyrredón
78000,42,-34.6156378,-58.3904158,Monserrat
153000,45,-34.6143545,-58.3789342,Monserrat
105000,40,-34.622264,-58.462749,Flores
170000,75,-34.5975105,-58.424968,Palermo
140000,48,-34.5782727,-58.4305343,Palermo
69458,34,-34.63099,-58.4201892,Boedo
110000,40,-34.5742806,-58.4346696,Palermo
84000,32,-34.604941,-58.468401,Paternal
105100,73,-34.58625,-58.504783,Villa Pueyrredón
103981.68,39,-34.6204532,-58.4029587,Congreso
160000,48,-34.6000429,-58.3782438,Retiro
105000,51,-34.5608555,-58.4871561,Saavedra
73800,41,-34.597255,-58.447667,Villa Crespo
248000,98,-34.591999,-58.389566,Recoleta
133000,75,-34.6073418,-58.3907693,Congreso
88000,50,-34.5936389,-58.5061652,Villa Devoto
112419,42,-34.5688712,-58.4884216,Villa Urquiza
137000,56,-34.604515,-58.437133,Villa Crespo
200000,70,-34.574527,-58.4343949,Palermo
160000,82,-34.600998,-58.396175,Balvanera
174250,47,-34.6153103,-58.3619834,Puerto Madero
105700,37,-34.62818,-58.429483,Caballito
268000,79,-34.5915663,-58.5068965,Villa Devoto
135000,49,-34.64302096,-58.51098112,Liniers
84280,38,-34.6442239,-58.45739407,Flores
92304,31,-34.562909,-58.465303,Belgrano
220000,85,-34.555416,-58.471774,Nuñez
90000,45,-34.6119796,-58.4222431,Almagro
265000,60,-34.569335,-58.4348693,Palermo
189302,65,-34.5731507,-58.482362,Villa Urquiza
314181.23,94,-34.56822,-58.458337,Belgrano
240000,95,-34.643737,-58.496761,Villa Luro
102732.06,48,-34.631591,-58.370191,Barracas
152638,35,-34.562909,-58.465303,Belgrano
78000,46,-34.611289,-58.407316,Balvanera
70000,33,-34.6058536,-58.4384072,Villa Crespo
205000,60,-34.56754748,-58.43230552,Las Cañitas
102000,38,-34.63099,-58.4201892,Boedo
145000,50,-34.5714065,-58.481306,Villa Urquiza
95000,38,-34.589875,-58.4771736,Agronomía
73000,31,-34.6173477,-58.4494039,Caballito
95000,44,-34.6157145,-58.4170203,Almagro
90000,38,-34.5798552,-58.4916429,Villa Urquiza
107720,47,-34.6244303,-58.3741828,San Telmo
105000,55,-34.61970857,-58.37445029,San Telmo
149900,100,-34.63259,-58.468766,Flores
299000,77,-34.62692535,-58.37248404,San Telmo
129900,70,,,Floresta
222500,77,-34.597769,-58.42644,Villa Crespo
